date,open,high,low,close
2021-01-22,19,19.7,18.72,19.28
2021-01-25,19.15,20.37,19.15,20.37
2021-01-26,20.7,24.17,20.7,24.09
2021-01-27,22.35,24.99,22.35,24.62
2021-01-28,24.6,24.693,22.6,23.88
2021-01-29,23.54,25.2,23.3,23.3
2021-02-01,24.35,24.35,21.49,22.43
2021-02-02,22.66,22.84,21.24,21.84
2021-02-03,21.7,22.27,21.62,22.2
2021-02-04,22,22.94,21.49,22.1
2021-02-05,22,23.75,22,22.77
2021-02-08,22.4,22.91,21.8072,22.91
2021-02-09,22.79,24.09,22.22,23.5
2021-02-10,23.75,24.76,23,24
2021-02-11,24.16,25.4,24.16,24.38
2021-02-12,25.02,25.77,24.95,25.16
2021-02-16,25,26.15,24.99,25.83
2021-02-17,26,26,24.63,24.94
2021-02-18,25.01,25.62,24.31,25.62
2021-02-19,22.16,22.98,21.64,21.64
2021-02-22,21.92,22.18,20.8,21.56
2021-02-23,20.91,22.27,20.18,21.75
2021-02-24,20.82,21.97,20.59,21.57
2021-02-25,20.7305,21.9,20.7305,21.754
2021-02-26,21.62,21.62,20.8,21.16
2021-03-01,21.77,22.19,20.82,21.2
2021-03-02,21.19,21.6,20.35,20.35
2021-03-03,20.85,21.26,20.58,20.6
2021-03-04,20.22,20.85,20.22,20.45
2021-03-05,20.99,20.99,19.42,20.97
2021-03-08,20.92,21,20.4,20.4
2021-03-09,20.55,21.12,20.55,20.81
2021-03-10,21.03,21.95,20.48,20.7
2021-03-11,20.98,21.31,20.98,21.07
2021-03-12,21.08,21.99,20.86,21.35
2021-03-15,21.54,24.63,21.54,23.23
2021-03-16,23.13,24.63,22.9,23.63
2021-03-17,22.95,24.4646,22.9,24.06
2021-03-18,24.43,24.43,22.57,22.57
2021-03-19,22.6,25.16,22.6,24.53
2021-03-22,24.17,24.6,23.71,24.6
2021-03-23,23.75,23.81,22.7,23.14
2021-03-24,23.11,24,22.94,23.59
2021-03-25,23.13,24.85,22.33,24.59
2021-03-26,24.45,25.57,23.81,23.81
2021-03-29,23.98,24.24,23.41,24
2021-03-30,24.26,24.3,23.46,24.3
2021-03-31,23.71,25.16,23.51,23.91
2021-04-01,24.19,26.34,24.19,26
